arxiv_id_clean,first_author_prior_papers_true,last_author_prior_papers_true,max_prior_papers_true,max_years_active,first_author_first_year,last_author_first_year,tierB_resolved
2310.09263,0.0,0.0,0.0,0.0,2024.0,2024.0,True
2310.09342,1.0,2.0,2.0,6.0,2023.0,2017.0,True
2310.09478,15.0,44.0,44.0,6.0,2017.0,2017.0,True
2310.09520,1.0,95.0,95.0,13.0,2022.0,2010.0,True
2310.09753,7.0,3.0,7.0,4.0,2019.0,2023.0,True
2310.09983,12.0,2.0,12.0,5.0,2018.0,2023.0,True
2310.10047,19.0,1.0,19.0,3.0,2020.0,2023.0,True
2310.10537,47.0,2.0,47.0,9.0,2014.0,2015.0,True
2310.10625,75.0,49.0,75.0,13.0,2010.0,2013.0,True
2310.10631,7.0,38.0,38.0,24.0,2021.0,1999.0,True
2310.10638,2.0,1.0,2.0,0.0,2023.0,2023.0,True
2310.10645,1.0,0.0,1.0,1.0,2022.0,2024.0,True
2310.10769,0.0,0.0,0.0,0.0,2024.0,2023.0,True
2310.10837,8.0,465.0,465.0,34.0,2020.0,1989.0,True
2310.10944,1.0,18.0,18.0,15.0,2023.0,2008.0,True
2310.10971,13.0,2.0,13.0,8.0,2015.0,2023.0,True
2310.11248,13.0,0.0,13.0,5.0,2018.0,2024.0,True
2310.11440,4.0,3.0,4.0,16.0,2021.0,2007.0,True
2310.11441,32.0,3.0,32.0,3.0,2020.0,2020.0,True
2310.11448,1.0,5.0,5.0,2.0,2023.0,2021.0,True
2310.11453,3.0,4.0,4.0,6.0,2022.0,2017.0,True
2310.11454,0.0,0.0,0.0,0.0,2024.0,2023.0,True
2310.11511,31.0,182.0,182.0,16.0,2018.0,2007.0,True
2310.11784,11.0,2.0,11.0,4.0,2019.0,2020.0,True
2310.11954,6.0,20.0,20.0,1.0,2022.0,2022.0,True
2310.12274,0.0,1.0,1.0,0.0,2023.0,2023.0,True
2310.12404,11.0,1.0,11.0,4.0,2020.0,2019.0,True
2310.12474,1.0,19.0,19.0,6.0,2023.0,2017.0,True
2310.12773,0.0,0.0,0.0,0.0,2024.0,2023.0,True
2310.12823,10.0,1.0,10.0,2.0,2021.0,2023.0,True
2310.12921,1.0,0.0,1.0,1.0,2022.0,2024.0,True
2310.12931,13.0,13.0,13.0,11.0,2020.0,2012.0,True
2310.12945,1.0,0.0,1.0,0.0,2023.0,2024.0,True
2310.12962,2.0,2.0,2.0,2.0,2021.0,2022.0,True
2310.12963,32.0,59.0,59.0,13.0,2013.0,2010.0,True
